film,award_type,status
Toy Story,Animated Feature,Award not yet introduced
Toy Story,Original Screenplay,Nominated
Toy Story,Adapted Screenplay,Ineligible
Toy Story,Original Score,Nominated
Toy Story,Original Song,Nominated
Toy Story,Other,Won Special Achievement
A Bug's Life,Animated Feature,Award not yet introduced
A Bug's Life,Adapted Screenplay,Ineligible
A Bug's Life,Original Score,Nominated
Toy Story 2,Animated Feature,Award not yet introduced
Toy Story 2,Original Screenplay,Ineligible
Toy Story 2,Original Song,Nominated
"Monsters, Inc.",Animated Feature,Nominated
"Monsters, Inc.",Adapted Screenplay,Ineligible
"Monsters, Inc.",Original Score,Nominated
"Monsters, Inc.",Original Song,Won
"Monsters, Inc.",Sound Editing,Nominated
Finding Nemo,Animated Feature,Won
Finding Nemo,Original Screenplay,Nominated
Finding Nemo,Adapted Screenplay,Ineligible
Finding Nemo,Original Score,Nominated
Finding Nemo,Sound Editing,Nominated
The Incredibles,Animated Feature,Won
The Incredibles,Original Screenplay,Nominated
The Incredibles,Adapted Screenplay,Ineligible
The Incredibles,Sound Editing,Won
The Incredibles,Sound Mixing,Nominated
Cars,Animated Feature,Nominated
Cars,Adapted Screenplay,Ineligible
Cars,Original Song,Nominated
Ratatouille,Animated Feature,Won
Ratatouille,Original Screenplay,Nominated
Ratatouille,Adapted Screenplay,Ineligible
Ratatouille,Original Score,Nominated
Ratatouille,Sound Editing,Nominated
Ratatouille,Sound Mixing,Nominated
WALL-E,Animated Feature,Won
WALL-E,Original Screenplay,Nominated
WALL-E,Adapted Screenplay,Ineligible
WALL-E,Original Score,Nominated
WALL-E,Original Song,Nominated
WALL-E,Sound Editing,Nominated
WALL-E,Sound Mixing,Nominated
Up,Best Picture,Nominated
Up,Animated Feature,Won
Up,Original Screenplay,Nominated
Up,Adapted Screenplay,Ineligible
Up,Original Score,Won
Up,Sound Editing,Nominated
Toy Story 3,Best Picture,Nominated
Toy Story 3,Animated Feature,Won
Toy Story 3,Original Screenplay,Ineligible
Toy Story 3,Adapted Screenplay,Nominated
Toy Story 3,Original Song,Won
Toy Story 3,Sound Editing,Nominated
Cars 2,Original Screenplay,Ineligible
Brave,Animated Feature,Won
Brave,Adapted Screenplay,Ineligible
Monsters University,Original Screenplay,Ineligible
Inside Out,Animated Feature,Won
Inside Out,Original Screenplay,Nominated
Inside Out,Adapted Screenplay,Ineligible
The Good Dinosaur,Adapted Screenplay,Ineligible
Finding Dory,Original Screenplay,Ineligible
Cars 3,Original Screenplay,Ineligible
Coco,Animated Feature,Won
Coco,Adapted Screenplay,Ineligible
Coco,Original Song,Won
Incredibles 2,Animated Feature,Nominated
Incredibles 2,Original Screenplay,Ineligible
Toy Story 4,Animated Feature,Won
Toy Story 4,Original Screenplay,Ineligible
Toy Story 4,Original Song,Nominated
Onward,Animated Feature,Nominated
Onward,Adapted Screenplay,Ineligible
Soul,Animated Feature,Won
Soul,Adapted Screenplay,Ineligible
Soul,Original Score,Won
Soul,Sound Editing,Nominated
Soul,Sound Mixing,Nominated
